metro,zip,npi_providers,npi_locations
Mississippi / Alabama,35010,4,2
Mississippi / Alabama,35022,1,1
Mississippi / Alabama,35055,4,3
Mississippi / Alabama,35058,4,2
Mississippi / Alabama,35128,1,1
Mississippi / Alabama,35150,1,1
Mississippi / Alabama,35203,5,2
Mississippi / Alabama,35205,16,8
Mississippi / Alabama,35209,16,11
Mississippi / Alabama,35211,2,2
Mississippi / Alabama,35213,13,7
Mississippi / Alabama,35216,8,4
Mississippi / Alabama,35223,11,5
Mississippi / Alabama,35226,3,2
Mississippi / Alabama,35233,29,12
Mississippi / Alabama,35235,12,6
Mississippi / Alabama,35242,33,14
Mississippi / Alabama,35243,14,8
Mississippi / Alabama,35244,14,8
Mississippi / Alabama,35249,4,1
Mississippi / Alabama,35294,2,2
Mississippi / Alabama,35404,2,2
Mississippi / Alabama,35406,6,4
Mississippi / Alabama,35473,11,2
Mississippi / Alabama,35501,6,4
Mississippi / Alabama,35601,9,7
Mississippi / Alabama,35603,1,1
Mississippi / Alabama,35611,1,1
Mississippi / Alabama,35630,5,1
Mississippi / Alabama,35650,1,1
Mississippi / Alabama,35660,1,1
Mississippi / Alabama,35661,2,1
Mississippi / Alabama,35758,10,6
Mississippi / Alabama,35801,19,14
Mississippi / Alabama,35802,5,3
Mississippi / Alabama,35901,2,2
Mississippi / Alabama,35903,2,1
Mississippi / Alabama,35968,2,2
Mississippi / Alabama,35976,3,2
Mississippi / Alabama,36106,8,5
Mississippi / Alabama,36116,1,1
Mississippi / Alabama,36117,10,5
Mississippi / Alabama,36203,4,2
Mississippi / Alabama,36265,1,1
Mississippi / Alabama,36301,10,7
Mississippi / Alabama,36303,5,4
Mississippi / Alabama,36305,5,2
Mississippi / Alabama,36330,2,2
Mississippi / Alabama,36426,2,2
Mississippi / Alabama,36526,6,5
Mississippi / Alabama,36532,13,7
Mississippi / Alabama,36535,5,4
Mississippi / Alabama,36542,2,1
Mississippi / Alabama,36555,1,1
Mississippi / Alabama,36604,1,1
Mississippi / Alabama,36606,6,3
Mississippi / Alabama,36607,2,2
Mississippi / Alabama,36608,21,14
Mississippi / Alabama,36609,6,3
Mississippi / Alabama,36617,1,1
Mississippi / Alabama,36695,8,3
Mississippi / Alabama,36701,1,1
Mississippi / Alabama,36801,2,2
Mississippi / Alabama,36830,9,8
Mississippi / Alabama,38654,1,1
Mississippi / Alabama,38655,5,5
Mississippi / Alabama,38671,3,2
Mississippi / Alabama,38701,4,3
Mississippi / Alabama,38703,1,1
Mississippi / Alabama,38801,13,9
Mississippi / Alabama,38804,2,2
Mississippi / Alabama,38834,3,3
Mississippi / Alabama,38901,5,3
Mississippi / Alabama,39042,2,1
Mississippi / Alabama,39051,1,1
Mississippi / Alabama,39056,3,1
Mississippi / Alabama,39110,7,6
Mississippi / Alabama,39120,1,1
Mississippi / Alabama,39157,15,10
Mississippi / Alabama,39180,1,1
Mississippi / Alabama,39183,1,1
Mississippi / Alabama,39202,4,4
Mississippi / Alabama,39204,1,1
