territory,tier,state,county,major_city,zipcode,population,median_household_income,income_factor,target_clinics,npi_providers,npi_locations,our_accts,open_clinics,annual_potential,current_owner
Dallas (DFW),1,TX,Dallas County,Dallas,75220,41891,35827,0.7913190908684092,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75234,28794,53305,0.9652290748520237,3,5,4,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75238,30483,52779,0.9604549523453276,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75248,33395,72111,1.1226572377728827,4,2,1,1,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Arlington,76012,25689,56627,0.9948513612957567,3,17,10,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Arlington,76013,30680,50220,0.9368817424710054,3,3,2,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Arlington,76014,34072,42558,0.8624561564026907,3,7,4,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Arlington,76018,26938,64403,1.0609611236110559,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Azle,76020,27270,57457,1.002115765808924,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Bedford,76021,33673,65134,1.066965302345995,4,1,1,1,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Colleyville,76034,22748,152986,1.5,3,7,6,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Euless,76039,32925,58320,1.0096135699192565,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Hood County,Granbury,76049,25130,64254,1.0597331160107857,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Grapevine,76051,46320,76216,1.1541692452024357,5,12,8,2,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Hurst,76053,28421,44977,0.8866284518236923,3,1,1,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Ellis County,Midlothian,76065,28986,81793,1.1956511620271555,3,1,1,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Parker County,Weatherford,76087,24746,74898,1.1441462248330918,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Fort Worth,76106,35389,31391,0.7407113457790164,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Fort Worth,76110,30434,39600,0.831943847754049,3,1,1,0,3,10500,Jamie Bergeron
